price,isOneOwner,mileage,year,displacement,trim
34.5,0,70.502,2008,5.5,7.0
55.99,0,34.021,2011,5.5,7.0
4.495,0,141.721,1999,3.2,0.0
48.9,1,44.895,2012,4.6,7.0
4.995,0,164.0,1998,5.0,5.0
15.989,0,77.841,2006,3.7,1.0
31.895,0,55.427,2008,5.5,7.0
9.9,0,126.86,2004,5.0,5.0
16.988,0,251.751,2007,5.5,7.0
6.9,0,126.604,1997,4.2,3.0
22.899,0,77.8,2006,5.5,8.0
10.988,0,131.326,2006,5.0,5.0
38.995,1,26.727,2007,5.5,7.0
25.992,0,78.201,2007,5.5,8.0
25.0,0,65.018,2007,5.5,7.0
25.995,0,86.715,2007,5.5,7.0
9.991,0,161.487,2003,5.0,5.0
30.175,0,113.048,2010,5.5,7.0
33.888,0,45.314,2008,5.5,7.0
40.995,0,50.222,2009,5.5,7.0
10.988,0,77.225,2000,5.0,5.0
57.9,0,21.671,2012,4.6,7.0
49.9,1,47.781,2011,5.5,7.0
12.495,0,116.414,2002,5.4,6.0
33.98,1,40.215,2009,5.5,7.0
11.9,0,161.754,2002,5.0,5.0
24.993,0,66.064,2007,5.5,7.0
12.995,0,83.341,2002,4.3,4.0
5.995,0,143.871,2000,5.0,5.0
34.995,0,69.83,2008,5.5,7.0
49.95,0,41.407,2007,5.5,7.0
55.995,0,19.796,2013,4.6,7.0
24.995,0,97.521,2007,5.5,7.0
20.977,0,95.208,2007,5.5,7.0
59.9,0,35.265,2012,4.6,7.0
37.495,0,61.73,2011,5.5,7.0
39.99,0,50.956,2008,5.5,7.0
29.9,0,39.0,2007,5.5,7.0
41.98,0,45.873,2008,6.3,9.0
21.495,0,128.333,2007,5.5,7.0
12.9,0,92.786,2006,4.3,4.0
14.995,1,74.488,2005,5.0,5.0
58.995,0,31.424,2010,5.5,7.0
7.999,0,81.789,2000,5.0,5.0
40.849,0,65.615,2009,6.3,9.0
13.888,0,107.403,2006,3.7,1.0
24.988,0,114.795,2007,5.5,7.0
30.985,0,74.675,2008,5.5,7.0
32.995,0,79.07,2008,5.5,7.0
15.8,0,46.181,2002,5.8,8.0
